年份,日期,冠军,冠军教练,亚军,亚军教练,比分,MVP
1947,4.16-4.22,费城勇士,哥特莱布,芝加哥牡鹿,奥尔森,4-1, 
1948,4.10-4.21,巴尔蒂莫子弹,吉安尼特,费城勇士,哥特莱布,4-2, 
1949,4.4-4.13,明尼阿波利斯湖人,昆德拉,华盛顿国会,奥尔巴赫,4-2, 
1950,4.8-4.23,明尼阿波利斯湖人,昆德拉,塞拉库斯民族,阿尔塞维,4-2, 
1951,4.7-4.21,皇家罗切斯特,哈里森,纽约尼克斯,拉普奇克,4-3, 
1952,4.12-4.25,明尼阿波利斯湖人,昆德拉,纽约尼克斯,拉普奇克,4-3, 
1953,4.4-4.10,明尼阿波利斯湖人,昆德拉,纽约尼克斯,拉普奇克,4-1, 
1954,3.31-4.12,明尼阿波利斯湖人,昆德拉,塞拉库斯民族,阿尔塞维,4-3, 
1955,3.31-4.10,塞拉库斯民族,阿尔塞维,福特韦恩活塞,埃克曼,4-3, 
1956,3.31-4.7,费城勇士,塞内斯基,福特韦恩活塞,埃克曼,4-1, 
1957,3.30-4.13,波士顿凯尔特人,奥尔巴赫,圣路易斯老鹰,汉南,4-3, 
1958,3.29-4.12,圣路易斯老鹰,汉南,波士顿凯尔特人,奥尔巴赫,4-2, 
1959,4.4-4.9,波士顿凯尔特人,奥尔巴赫,明尼阿波利斯湖人,昆德拉,4-0, 
1960,3.27-4.9,波士顿凯尔特人,奥尔巴赫,圣路易斯老鹰,马考利,4-3, 
1961,4.2-4.11,波士顿凯尔特人,奥尔巴赫,圣路易斯老鹰,塞莫尔,4-1, 
1962,4.7-4.18,波士顿凯尔特人,奥尔巴赫,洛杉矶湖人,斯克豪斯,4-3, 
1963,4.14-4.24,波士顿凯尔特人,奥尔巴赫,洛杉矶湖人,斯克豪斯,4-2, 
1964,4.18-4.26,波士顿凯尔特人,奥尔巴赫,旧金山勇士,汉南,4-1, 
1965,4.18-4.25,波士顿凯尔特人,奥尔巴赫,洛杉矶湖人,斯克豪斯,4-1, 
1966,4.17-4.28,波士顿凯尔特人,奥尔巴赫,洛杉矶湖人,斯克豪斯,4-3, 
